source_id,title,filename,page,text
S01_about_trust,Project Overview / About Us - HBCU Digital Library Trust,ABOUT US _ HBCU Digital Trust.pdf,1,"About Us Courtesy of North Carolina Central University Archives Mission The HBCU Digital Library Trust is building capacity with Historically Black Colleges and Universities to digitally preserve and provide global access to their archival collections, sustain institutional, cultural, and community memory, and ensure stories are discovered, maintained, remembered and told. Vision With trust at the forefront, we acknowledge and celebrate the undeniable lived experiences and legacy of Black people by being the preeminent digital repository network of HBCU archival collections. HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS HBCU DIGITAL COLLECTION 6/14/26, 3:57 PM ABOUT US | HBCU Digital Trust https://www.thehbcutrust.org/about-us 1/4"
S01_about_trust,Project Overview / About Us - HBCU Digital Library Trust,ABOUT US _ HBCU Digital Trust.pdf,2,"Andrea Jackson Gavin Program Director HBCU Digital Library Trust Read More Kendall Barksdale Project Manager Digitization Hub at AUC Woodruff Library Read More Summer Redding Digital Imaging Librarian Digitization Hub at AUC Woodruff Library Read More The Team Michelle Jacobs-Porter Program Coordinator HBCU Digital Library Trust Read More Sasha Jelan Traveling Archivist Digitization Hub at AUC Woodruff Library Read More Sylvia Johnson Digitization Technical Assistant Digitization Hub at AUC Woodruff Library Read More Advisory Committee Jerome Offord, Jr. (Chair) Harvard Library DeLisa Minor Harris Fisk University Nicole Bao Howard University Gary Kremer State Historical Society of Missouri HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS HBCU DIGITAL COLLECTION 6/14/26, 3:57 PM ABOUT US | HBCU Digital Trust https://www.thehbcutrust.org/about-us 2/4"
S01_about_trust,Project Overview / About Us - HBCU Digital Library Trust,ABOUT US _ HBCU Digital Trust.pdf,3,"Jelani Favors United Negro College Fund Jordan Ross University of Pennsylvania Jennifer Ferretti After Violence Project Crystal Sanders Emory University Janice Franklin Alabama State University Marquis Taylor Northwestern University Coleman A. Jordan Morgan State University Adrienne Webber Grambling State University HBCU Library Alliance Doretha Williams Smithsonian Institute, National Museum of African American History and Culture History In 2006, the HBCU Library Alliance and Cornell University Library collaborated on an innovative, Andrew W. Mellon Foundation grant-funded initiative to prepare library staff from Historically Black Colleges and Universities to produce digital collections, and develop an Internet-based, searchable database of HBCU library materials. The initiative became one of the first in the nation to build a national framework for digitization of collaborative HBCU library cultural heritage materials. Since 2008, the HBCU Digital Collection platform has been hosted by the Atlanta University Center (AUC) Robert W. Woodruff Library, and is heavily utilized for research, new scholarship, teaching and learning.* With a shared goal to deepen capacity and advance open, public access to African American archives and special collections, the HBCU Library Alliance and Harvard Library began partnering in 2023. With funds provided by the Harvard & the Legacy of Slavery Initiative, they developed the HBCU Digital Library Trust to expand existing services and business models to scale up and strengthen capacity for the digitization, discovery, and preservation of more HBCU collections. In addition to hosting the digital collection platform, the AUC Woodruff Library provides robust services for contributing HBCUs as a Digitization Hub. *Adapted from the HBCU Library Alliance – Cornell University Library Digitization Initiative website. HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS HBCU DIGITAL COLLECTION 6/14/26, 3:57 PM ABOUT US | HBCU Digital Trust https://www.thehbcutrust.org/about-us 3/4"
S01_about_trust,Project Overview / About Us - HBCU Digital Library Trust,ABOUT US _ HBCU Digital Trust.pdf,4,"HOME ABOUT THE TRUST ABOUT US CONTACT FAQs PARTNERSHIPS NEWS & EVENTS SERVICES & RESOURCES 404-978-2031 info@thehbcutrust.org HBCU Digital Library Trust c/o AUC Woodruff Library 111 James P. Brawley Dr, SW Atlanta, GA 30314 © 2024 HBCU Digital Library Trust | All rights reserved. | Designed by Graphics In Atlanta 6/14/26, 3:57 PM ABOUT US | HBCU Digital Trust https://www.thehbcutrust.org/about-us 4/4"
S02_partnerships,Partnerships - HBCU Digital Library Trust,PARTNERSHIPS _ HBCU Digital Trust.pdf,1,"Partnerships Courtesy of North Carolina Central University Archives Building Strong Partnerships for a Shared Mission Partnerships are at the core of the HBCU Digital Library Trust project. We recognize the immense value of collaboration in achieving our mission to digitize, discover, and preserve African American history collections. These partnerships are instrumental in amplifying our impact and advancing open access to these invaluable resources. Our Key Collaborators and Allies Our project thrives on the support, contributions and expertise of key organizations. Here are the organizations that play a vital role in our mission: Harvard Library aims to be global leaders in expanding world knowledge and intellectual exploration. Their efforts are motivated and powered by working collaboratively, embracing diverse perspectives, championing access, aiming for the extraordinary, and always leading with curiosity. LEARN MORE The HBCU Library Alliance is a consortium that supports the collaboration of information professionals dedicated to providing an array of resources designed to strengthen Historically Black Colleges and Universities and their constituents. LEARN MORE HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RES HBCU DIGITAL COLLECTION 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 1/5"
S02_partnerships,Partnerships - HBCU Digital Library Trust,PARTNERSHIPS _ HBCU Digital Trust.pdf,2,"The Atlanta University Center Woodruff Library supports the teaching, learning and research missions of four institutions of higher education that comprise the world’s largest consortium of HBCUs. They serve as the Digital Repository Host and Digitization Hub for the HBCU Digital Library Trust. LEARN MORE HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RES HBCU DIGITAL COLLECTION 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 2/5"
S02_partnerships,Partnerships - HBCU Digital Library Trust,PARTNERSHIPS _ HBCU Digital Trust.pdf,3,"HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RES HBCU DIGITAL COLLECTION 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 3/5"
S02_partnerships,Partnerships - HBCU Digital Library Trust,PARTNERSHIPS _ HBCU Digital Trust.pdf,4,"HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RES HBCU DIGITAL COLLECTION 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 4/5"
S02_partnerships,Partnerships - HBCU Digital Library Trust,PARTNERSHIPS _ HBCU Digital Trust.pdf,5,"HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RESOURCES 404-978-2031 info@thehbcutrust.org HBCU Digital Library Trust c/o AUC Woodruff Library 111 James P. Brawley Dr, SW Atlanta, GA 30314 © 2024 HBCU Digital Library Trust | All rights reserved. | Designed by Graphics In Atlanta 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 5/5"
S03_metadata_libguide,Metadata Guide - HBCU Digital Library Trust Guide for Contributors,Metadata Guide - HBCU Digital Library Trust- Guide for Contributors - LibGuides at Atlanta University Center - Robert W. Woodruff Library.pdf,1,"Library / LibGuides / HBCU Digital Library Trust- Guide for Contributors / Metadata Guide HBCU Digital Library Trust- Guide for Contributors: Metadata Guide This guide provides an overview and information for HBCU Digital Library Trust project contributors. Project Overview Scanning Hub Team Digitization Process Metadata Guide Shipping and Packing Collection Use Statistics Metadata Guide This document provides recommendations on formatting and usage when creating descriptive metadata for digital objects included in the HBCU Digital Library Trust collections. Metadata for the HBCU Digital Library Trust is based on the Dublin Core metadata schema and OCLC FAST subject headings. Dublin Core consists of a series of repeatable elements identified as basic descriptive information for electronic resources. The HBCU Digital Library Trust strives to create descriptions that are respectful, sensitive, and accurate. Whenever possible we consult best practices and work collaboratively with participants. The guide can viewed here or downloaded as a PDF document.  Metadata Guide Search this Guide Search 6/14/26, 4:02 PM Metadata Guide - HBCU Digital Library Trust- Guide for Contributors - LibGuides at Atlanta University Center - Robert W. Woodruff Library https://research.auctr.edu/c.php?g=1451206&p=10786542 1/6"
